ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSG00000100644,66.2853340728355,-0.9434346333361465,0.17591969034919497,-5.362871157080022,8.190943299876015e-08,3.515309639789584e-07,HIF1A
ENSG00000160310,67.42655333903475,0.7107542538783185,0.13262153327652998,5.359267355146018,8.356012040936843e-08,3.583022964150405e-07,PRMT2
ENSG00000077585,45.150295103105236,0.8637816660959424,0.16123987881874335,5.357121776722224,8.455813158446705e-08,3.622656134316225e-07,GPR137B
ENSG00000109046,52.73979379131373,0.8812816950190013,0.16460103382006866,5.354047143970932,8.600843547880106e-08,3.681580591836484e-07,WSB1
ENSG00000162613,35.895011051052265,0.922279516309501,0.17283958514692815,5.336043334780549,9.499670705305323e-08,4.0627834504673937e-07,FUBP1
ENSG00000125734,45.38948469042502,-0.8237103839032602,0.15437937605609225,-5.335624517642648,9.521625967990507e-08,4.0686321744961176e-07,GPR108
ENSG00000123338,19.65401550993608,-1.2812161020434274,0.24013501186272793,-5.335398999525436,9.533468433053292e-08,4.0701532476128476e-07,NCKAP1L
ENSG00000107223,178.2441285455731,-0.46393594311751957,0.08698404029451501,-5.333575464495574,9.629751563137003e-08,4.1076909011506275e-07,EDF1
ENSG00000065615,80.94422369428145,0.7658050027855978,0.1437307692020001,5.328051933746565,9.92717421034635e-08,4.2308876036116184e-07,CYB5R4
ENSG00000170144,80.21308059289055,-0.7021585843609294,0.13185525178982374,-5.325222733487816,1.0082941000892238e-07,4.2935504400679775e-07,HNRNPA3
ENSG00000119335,17.308799485571,-1.2952345440089645,0.2433780721958595,-5.321903211422512,1.0268720670515835e-07,4.36887388527401e-07,SET
ENSG00000125656,8.231475600723652,-2.0188054627205485,0.37948117681986737,-5.3199093552902035,1.0381896496987606e-07,4.4132040991519976e-07,CLPP
ENSG00000106952,7.767384877044208,-2.7085892124813373,0.5092177917023163,-5.31911739263178,1.0427184302400724e-07,4.428624344165701e-07,TNFSF8
ENSG00000105329,39.071478513923346,0.8889565646731512,0.167164698300006,5.317848646953944,1.0500135388468386e-07,4.4557569342775173e-07,TGFB1
ENSG00000002330,13.704438339670688,-1.4981884623068642,0.28197371933221843,-5.3132202031272096,1.0770475628019589e-07,4.5665329798177964e-07,BAD
ENSG00000065427,39.19949400612673,1.1493648591313508,0.21633837644913556,5.31281078279509,1.079471091773097e-07,4.572862883597413e-07,KARS
ENSG00000153029,17.55262108950577,1.1848619561900886,0.22311580296238967,5.3105245816667646,1.0931013880943527e-07,4.626615177515633e-07,MR1
ENSG00000099901,27.263104240646584,-1.2043342331868836,0.2268140294061608,-5.309787213516039,1.0975329810393172e-07,4.6413744137927754e-07,RANBP1
ENSG00000138744,15.10731601654636,1.3509687454535921,0.25466935185166945,5.304795161376369,1.1279958858907467e-07,4.7660978359992515e-07,NAAA
ENSG00000181374,6.438191972065899,3.2601663785376727,0.614837546617161,5.302484203307237,1.1423735454451143e-07,4.822700689276024e-07,CCL13
ENSG00000106052,144.88136611462375,0.627562254830724,0.11836251130430402,5.302035652296134,1.1451846893604361e-07,4.830418509456809e-07,TAX1BP1
ENSG00000166900,29.98974967851119,1.0330333828785407,0.19497609212270361,5.298256681790635,1.1691353843526787e-07,4.927213789630414e-07,STX3
ENSG00000139163,21.286408963260538,1.1380543796499782,0.21500062819125232,5.293260718464645,1.2015442679772683e-07,5.059458897035387e-07,ETNK1
ENSG00000023445,82.08130407716659,1.3539669702309194,0.25589500242853264,5.291103606484306,1.2158046299005935e-07,5.115123246003011e-07,BIRC3
ENSG00000160190,8.358457409569695,1.875573819881227,0.3544912165584119,5.290889399433613,1.2172296275264474e-07,5.116737715709976e-07,SLC37A1
ENSG00000112308,33.34632907881314,1.0305881245175472,0.1949199468512468,5.287237869524153,1.2417711984627596e-07,5.21543903354359e-07,C6orf62
ENSG00000104714,23.568864150885403,1.2047472392821228,0.22796343096647664,5.284826755653138,1.2582377451194796e-07,5.280085635796005e-07,ERICH1
ENSG00000083845,413.16411178329156,-0.3591609608609553,0.06796712047325308,-5.284333930290529,1.2616293711736605e-07,5.289800964118915e-07,RPS5
