seed,grid_id,donors_per_group,cells_per_donor,donor_sd,nonnull_fraction,method,discoveries,true_positive,false_positive,fdp,sensitivity,any_false_positive,pvalue_nonfinite,two_methods_seconds
269924,9,8,20,0.0,0.2,donor_mean_welch,40,40,0,0.0,1.0,0,0,0.0027317999629303813
269925,9,8,20,0.0,0.2,cell_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0017337999888695776
269925,9,8,20,0.0,0.2,donor_mean_welch,40,40,0,0.0,1.0,0,0,0.0017337999888695776
269926,9,8,20,0.0,0.2,cell_welch,44,40,4,0.09090909090909091,1.0,1,0,0.00195870001334697
269926,9,8,20,0.0,0.2,donor_mean_welch,42,40,2,0.047619047619047616,1.0,1,0,0.00195870001334697
269927,9,8,20,0.0,0.2,cell_welch,46,40,6,0.13043478260869565,1.0,1,0,0.0024089000071398914
269927,9,8,20,0.0,0.2,donor_mean_welch,44,40,4,0.09090909090909091,1.0,1,0,0.0024089000071398914
269928,9,8,20,0.0,0.2,cell_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0014807999832555652
269928,9,8,20,0.0,0.2,donor_mean_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0014807999832555652
269929,9,8,20,0.0,0.2,cell_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0027618000167421997
269929,9,8,20,0.0,0.2,donor_mean_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0027618000167421997
269930,9,8,20,0.0,0.2,cell_welch,42,40,2,0.047619047619047616,1.0,1,0,0.00395010004285723
269930,9,8,20,0.0,0.2,donor_mean_welch,43,40,3,0.06976744186046512,1.0,1,0,0.00395010004285723
269931,9,8,20,0.0,0.2,cell_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0016415999853052199
269931,9,8,20,0.0,0.2,donor_mean_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0016415999853052199
269932,9,8,20,0.0,0.2,cell_welch,40,40,0,0.0,1.0,0,0,0.0015950000379234552
269932,9,8,20,0.0,0.2,donor_mean_welch,40,40,0,0.0,1.0,0,0,0.0015950000379234552
269933,9,8,20,0.0,0.2,cell_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0017491999897174537
269933,9,8,20,0.0,0.2,donor_mean_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0017491999897174537
269934,9,8,20,0.0,0.2,cell_welch,40,40,0,0.0,1.0,0,0,0.00152449996676296
269934,9,8,20,0.0,0.2,donor_mean_welch,40,40,0,0.0,1.0,0,0,0.00152449996676296
269935,9,8,20,0.0,0.2,cell_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0031688999733887613
269935,9,8,20,0.0,0.2,donor_mean_welch,43,40,3,0.06976744186046512,1.0,1,0,0.0031688999733887613
269936,9,8,20,0.0,0.2,cell_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0016388000221922994
269936,9,8,20,0.0,0.2,donor_mean_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0016388000221922994
269937,9,8,20,0.0,0.2,cell_welch,40,40,0,0.0,1.0,0,0,0.002175700035877526
269937,9,8,20,0.0,0.2,donor_mean_welch,40,40,0,0.0,1.0,0,0,0.002175700035877526
269938,9,8,20,0.0,0.2,cell_welch,41,40,1,0.024390243902439025,1.0,1,0,0.003287400002591312
269938,9,8,20,0.0,0.2,donor_mean_welch,42,40,2,0.047619047619047616,1.0,1,0,0.003287400002591312
269939,9,8,20,0.0,0.2,cell_welch,41,40,1,0.024390243902439025,1.0,1,0,0.002411500026937574
269939,9,8,20,0.0,0.2,donor_mean_welch,40,40,0,0.0,1.0,0,0,0.002411500026937574
269940,9,8,20,0.0,0.2,cell_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0016439000028185546
269940,9,8,20,0.0,0.2,donor_mean_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0016439000028185546
269941,9,8,20,0.0,0.2,cell_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0028601999511010945
269941,9,8,20,0.0,0.2,donor_mean_welch,39,39,0,0.0,0.975,0,0,0.0028601999511010945
269942,9,8,20,0.0,0.2,cell_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0015648000407963991
269942,9,8,20,0.0,0.2,donor_mean_welch,40,40,0,0.0,1.0,0,0,0.0015648000407963991
269943,9,8,20,0.0,0.2,cell_welch,40,40,0,0.0,1.0,0,0,0.001582800003234297
269943,9,8,20,0.0,0.2,donor_mean_welch,41,40,1,0.024390243902439025,1.0,1,0,0.001582800003234297
269944,9,8,20,0.0,0.2,cell_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0030926999752409756
269944,9,8,20,0.0,0.2,donor_mean_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0030926999752409756
269945,9,8,20,0.0,0.2,cell_welch,40,40,0,0.0,1.0,0,0,0.00163870002143085
269945,9,8,20,0.0,0.2,donor_mean_welch,41,40,1,0.024390243902439025,1.0,1,0,0.00163870002143085
269946,9,8,20,0.0,0.2,cell_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0025188999716192484
269946,9,8,20,0.0,0.2,donor_mean_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0025188999716192484
269947,9,8,20,0.0,0.2,cell_welch,41,40,1,0.024390243902439025,1.0,1,0,0.002397499978542328
269947,9,8,20,0.0,0.2,donor_mean_welch,40,40,0,0.0,1.0,0,0,0.002397499978542328
269948,9,8,20,0.0,0.2,cell_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0019373999675735831
269948,9,8,20,0.0,0.2,donor_mean_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0019373999675735831
269949,9,8,20,0.0,0.2,cell_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0022559999488294125
269949,9,8,20,0.0,0.2,donor_mean_welch,43,40,3,0.06976744186046512,1.0,1,0,0.0022559999488294125
269950,9,8,20,0.0,0.2,cell_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0014987000031396747
269950,9,8,20,0.0,0.2,donor_mean_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0014987000031396747
269951,9,8,20,0.0,0.2,cell_welch,43,40,3,0.06976744186046512,1.0,1,0,0.0016291000065393746
269951,9,8,20,0.0,0.2,donor_mean_welch,43,40,3,0.06976744186046512,1.0,1,0,0.0016291000065393746
269952,9,8,20,0.0,0.2,cell_welch,43,40,3,0.06976744186046512,1.0,1,0,0.002204400021582842
269952,9,8,20,0.0,0.2,donor_mean_welch,41,40,1,0.024390243902439025,1.0,1,0,0.002204400021582842
269953,9,8,20,0.0,0.2,cell_welch,41,40,1,0.024390243902439025,1.0,1,0,0.00152160000288859
269953,9,8,20,0.0,0.2,donor_mean_welch,41,40,1,0.024390243902439025,1.0,1,0,0.00152160000288859
269954,9,8,20,0.0,0.2,cell_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0020761999767273664
269954,9,8,20,0.0,0.2,donor_mean_welch,40,40,0,0.0,1.0,0,0,0.0020761999767273664
269955,9,8,20,0.0,0.2,cell_welch,41,40,1,0.024390243902439025,1.0,1,0,0.002177799993660301
269955,9,8,20,0.0,0.2,donor_mean_welch,40,40,0,0.0,1.0,0,0,0.002177799993660301
269956,9,8,20,0.0,0.2,cell_welch,42,40,2,0.047619047619047616,1.0,1,0,0.00255279999691993
269956,9,8,20,0.0,0.2,donor_mean_welch,41,40,1,0.024390243902439025,1.0,1,0,0.00255279999691993
269957,9,8,20,0.0,0.2,cell_welch,43,40,3,0.06976744186046512,1.0,1,0,0.0018068000208586454
269957,9,8,20,0.0,0.2,donor_mean_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0018068000208586454
270908,10,8,20,0.8,0.0,cell_welch,100,0,100,1.0,,1,0,0.003079499991144985
